ICAO,PHASE,RANGE,DATE,MVTS_VALID,MVTS_NA,TOT_ASMA,TOT_REF,TOT_ADD_TIME,TOT_ASMA_SUPPLIED,TOT_UNIMP_SUPPLIED,TOT_ADD_SUPPLIED
SBBR,ARR,C40,2023-03-04,146,13,2096.1833333333334,1874.9333333333334,221.25,2096.1833333333334,1835.9766666666667,260.20666666666665
SBBR,ARR,C100,2023-03-05,133,13,3169.3,2873.6833333333334,295.6166666666667,3169.3,2887.6233333333334,281.6766666666667
SBBR,ARR,C40,2023-03-05,133,13,1910.3666666666666,1730.7633333333333,179.60333333333332,1910.3666666666666,1686.6766666666667,209.39
SBBR,ARR,C100,2023-03-06,138,77,3374.7833333333333,2983.2566666666667,391.52666666666664,3374.7833333333333,2937.5933333333332,437.19
SBBR,ARR,C40,2023-03-06,144,71,2085.3166666666666,1839.5333333333333,245.78333333333333,2085.3166666666666,1775.9833333333333,288.3833333333333
SBBR,ARR,C100,2023-03-07,145,85,3610.55,3160.556666666667,449.9933333333333,3610.55,3098.77,511.78
SBBR,ARR,C40,2023-03-07,143,87,2011.75,1801.15,210.59999999999997,2011.75,1748.4833333333333,263.26666666666665
SBBR,ARR,C100,2023-03-08,98,94,2354.6833333333334,2116.5233333333335,238.15999999999997,2354.6833333333334,2111.4866666666667,243.19666666666666
SBBR,ARR,C40,2023-03-08,113,79,1610.9833333333333,1443.7933333333333,167.19,1610.9833333333333,1412.1233333333332,198.86
SBBR,ARR,C100,2023-03-09,178,48,4370.8,3893.5033333333336,477.2966666666666,4370.8,3902.07,468.73
SBBR,ARR,C40,2023-03-09,180,46,2701.9,2375.9066666666668,325.99333333333334,2701.9,2323.15,328.73333333333335
SBBR,ARR,C100,2023-03-10,182,50,4382.416666666667,3986.6666666666665,395.75,4382.416666666667,4001.653333333333,380.7633333333333
SBBR,ARR,C40,2023-03-10,184,48,2620.4333333333334,2385.213333333333,235.22000000000003,2620.4333333333334,2351.25,269.18333333333334
SBBR,ARR,C100,2023-03-11,135,30,3161.883333333333,2917.0733333333333,244.80999999999995,3161.883333333333,2917.7166666666667,244.16666666666666
SBBR,ARR,C40,2023-03-11,135,30,1818.0833333333333,1701.86,116.22333333333333,1818.0833333333333,1674.6166666666666,143.46666666666667
SBBR,ARR,C100,2023-03-12,142,13,3496.0833333333335,3091.08,405.00333333333333,3496.0833333333335,3116.67,379.41333333333336
SBBR,ARR,C40,2023-03-12,146,9,2147.65,1908.8533333333332,238.79666666666665,2147.65,1882.3999999999999,265.25
SBBR,ARR,C100,2023-03-13,182,26,4553.316666666667,3997.31,556.0066666666667,4553.316666666667,3980.98,572.3366666666667
SBBR,ARR,C40,2023-03-13,186,22,2696.616666666667,2413.7266666666665,282.89,2696.616666666667,2366.866666666667,329.75
SBBR,ARR,C100,2023-03-14,201,49,4976.383333333333,4369.6033333333335,606.78,4976.383333333333,4313.456666666667,634.3933333333333
SBBR,ARR,C40,2023-03-14,209,41,3105.4,2710.13,395.27,3105.4,2647.55,457.85
